"","date","country","confirmed","death","recovered"
"581",2020-04-13,"US",25291,1828,10494
"582",2020-04-14,"Australia",64,1,380
"583",2020-04-14,"Belgium",530,254,161
"584",2020-04-14,"China",93,0,161
"585",2020-04-14,"Italy",2972,602,1695
"586",2020-04-14,"Japan",504,14,15
"587",2020-04-14,"Spain",2442,300,2777
"588",2020-04-14,"US",27065,2404,4281
"589",2020-04-15,"Australia",25,1,0
"590",2020-04-15,"Belgium",2454,283,239
"591",2020-04-15,"China",50,1,111
"592",2020-04-15,"Italy",2667,578,962
"593",2020-04-15,"Japan",558,16,54
"594",2020-04-15,"Spain",5103,652,3349
"595",2020-04-15,"US",29096,2549,4333
"596",2020-04-16,"Australia",22,0,169
"597",2020-04-16,"Belgium",1236,417,455
"598",2020-04-16,"China",47,0,90
"599",2020-04-16,"Italy",3786,525,2072
"600",2020-04-16,"Japan",563,18,48
"601",2020-04-16,"Spain",7304,607,3944
"602",2020-04-16,"US",31298,2113,2607
"603",2020-04-17,"Australia",60,3,1453
"604",2020-04-17,"Belgium",1329,306,399
"605",2020-04-17,"China",357,1290,-849
"606",2020-04-17,"Italy",3493,575,2563
"607",2020-04-17,"Japan",560,13,34
"608",2020-04-17,"Spain",5891,687,0
"609",2020-04-17,"US",32724,2614,3842
"610",2020-04-18,"Australia",46,1,316
"611",2020-04-18,"Belgium",1045,290,387
"612",2020-04-18,"China",27,0,62
"613",2020-04-18,"Italy",3491,482,2200
"614",2020-04-18,"Japan",590,19,134
"615",2020-04-18,"Spain",887,41,0
"616",2020-04-18,"US",28341,2386,6295
"617",2020-04-19,"Australia",42,0,0
"618",2020-04-19,"Belgium",1313,230,409
"619",2020-04-19,"China",18,0,76
"620",2020-04-19,"Italy",3047,433,2128
"621",2020-04-19,"Japan",366,19,90
"622",2020-04-19,"Spain",6948,410,2560
"623",2020-04-19,"US",26038,1229,5497
"624",2020-04-20,"Australia",13,0,167
"625",2020-04-20,"Belgium",1487,145,138
"626",2020-04-20,"China",12,0,55
"627",2020-04-20,"Italy",2256,454,1822
"628",2020-04-20,"Japan",344,20,0
"629",2020-04-20,"Spain",1536,399,3230
"630",2020-04-20,"US",27341,1795,1992
"631",2020-04-21,"Australia",22,0,404
"632",2020-04-21,"Belgium",973,170,107
"633",2020-04-21,"China",36,0,54
"634",2020-04-21,"Italy",2729,534,2723
"635",2020-04-21,"Japan",383,28,80
"636",2020-04-21,"Spain",3968,430,1927
"637",2020-04-21,"US",25602,2457,2875
"638",2020-04-22,"Australia",7,0,237
"639",2020-04-22,"Belgium",933,264,431
"640",2020-04-22,"China",15,0,62
"641",2020-04-22,"Italy",3370,437,2943
"642",2020-04-22,"Japan",396,20,117
"643",2020-04-22,"Spain",4211,435,3401
"644",2020-04-22,"US",28104,2389,2162
"645",2020-04-23,"Australia",10,8,115
"646",2020-04-23,"Belgium",908,228,367
"647",2020-04-23,"China",16,0,122
"648",2020-04-23,"Italy",2646,464,3033
"649",2020-04-23,"Japan",432,28,138
"650",2020-04-23,"Spain",4635,440,3335
"651",2020-04-23,"US",34195,2437,2837
